com_id,common_name,scientific_name,genus,family,date_planted,age_description,latitude,longitude
1054292,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78899329,144.9444566
1054293,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78896156,144.9444892
1054294,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78893114,144.9444945
1054295,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78895034,144.9444623
1054297,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,1/01/1900,Mature,-37.7888553,144.9439888
1054299,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78852809,144.945085
1054303,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78859191,144.944356
1054307,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78896364,144.9443602
1054308,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78901016,144.9443522
1054310,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78905302,144.944355
1054315,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78927859,144.9442221
1054338,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78884549,144.9441914
1054339,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78877398,144.9441228
1054340,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78875198,144.9442054
1054347,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78846906,144.9447739
1054349,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78826102,144.9447333
1054362,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78797855,144.9445466
1054364,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78789655,144.9444992
1054365,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78788717,144.9445679
1054366,Golden Elm,Ulmus glabra 'Lutescens',Ulmus,Ulmaceae,1/01/1900,Mature,-37.78777685,144.9445405
1054368,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78800403,144.944463
1054370,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78808097,144.9447569
1054371,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78804381,144.9444548
1054373,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78809147,144.9444967
1054375,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78817081,144.9444939
1054378,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78808821,144.9443124
1054383,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78815802,144.9443581
1054384,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78819212,144.9443719
1054393,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78817363,144.9441708
1054404,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78839386,144.9444585
1054410,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78844373,144.9443324
1054411,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78847288,144.9443612
1054413,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78845582,144.9442041
1054431,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78816438,144.9440486
1054432,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78854289,144.9441196
1054442,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78854037,144.943826
1054445,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78831181,144.9438489
1054452,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78863238,144.943706
1054454,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78890823,144.9437108
1054456,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78903934,144.9437361
1054468,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78839187,144.9433621
1054480,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,1/01/1900,Mature,-37.78817012,144.9436996
1054484,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78796439,144.9436681
1054491,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7885352,144.9432776
1054501,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78904619,144.9430943
1054505,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78910497,144.9428758
1054507,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78925244,144.9427494
1054511,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78929928,144.9425993
1054516,English Ash,Fraxinus excelsior,Fraxinus,Oleaceae,1/01/1900,Mature,-37.78849702,144.9432566
1054519,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78789755,144.9440466
1054521,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7879867,144.9440458
1054526,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78777007,144.9438031
1054531,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78767869,144.9439243
1054535,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78757622,144.9435761
1054540,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78735845,144.9433108
1054543,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78724743,144.9434331
1054545,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78725225,144.9434751
1054548,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78724087,144.9436236
1054549,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78715368,144.9435846
